term,type,estimate,std_error,statistic,p_value,label,feature,anova_p,Delta_adj_R2,adj_r2_full,BIC,adjusted_p,anova_fdr_p
gender1,fixed,3.9775865580729195,52.81845859551503,0.07530675191666172,0.9400026956554555,F.Cal.ant.-Sc.Cal._left,SA_resid,6.905634779752666e-6,-0.02681567492150705,0.024517144127898072,7009.158605728052,0.9736835740014165,7.319972866537825e-5
s(Age),smooth,NA,NA,15.556038076616717,8.271434144280221e-5,F.Cal.ant.-Sc.Cal._left,SA_resid,6.905634779752666e-6,-0.02681567492150705,0.024517144127898072,7009.158605728052,3.757594368401586e-4,7.319972866537825e-5
gender1,fixed,38.538949267837864,51.604292919707895,0.7468167295267731,0.4555555763014575,F.Cal.ant.-Sc.Cal._right,SA_resid,3.8851884331536564e-4,-0.0019383217612745085,0.0014870782818567907,6861.793449700175,0.765941798667036,0.001844014808571437
s(Age),smooth,NA,NA,6.3752351892658,0.019691186397574723,F.Cal.ant.-Sc.Cal._right,SA_resid,3.8851884331536564e-4,-0.0019383217612745085,0.0014870782818567907,6861.793449700175,0.03683410161428684,0.001844014808571437
gender1,fixed,43.72898425120717,25.547427470038617,1.7116785751712744,0.08765431826516594,S.Cu._left,SA_resid,5.838588124575228e-4,-0.010125648289309064,0.018193483441458325,6021.373855980407,0.3982010458331824,0.0025606294603263925
s(Age),smooth,NA,NA,8.186117748563243,0.004199731446008825,S.Cu._left,SA_resid,5.838588124575228e-4,-0.010125648289309064,0.018193483441458325,6021.373855980407,0.01011753484720308,0.0025606294603263925
gender1,fixed,43.72899087531224,30.92312306693281,1.4141194853010561,0.15804962040586368,S.Cu._right,SA_resid,0.0011269054666866324,-0.015282795605443211,0.02297980788036036,6009.915826511383,0.5128710454434686,0.004370194370809135
s(Age),smooth,NA,NA,5.760615404214678,0.028276225890631168,S.Cu._right,SA_resid,0.0011269054666866324,-0.015282795605443211,0.02297980788036036,6009.915826511383,0.049405713369344566,0.004370194370809135
gender1,fixed,-13.241273921447256,15.909072817189726,-0.8323095929977818,0.40569853576992965,S.Olf._right,SA_resid,3.0297126913034733e-5,-0.028325364361675653,0.027564595306710293,5474.0387731147885,0.7538966724745826,2.4086215895862613e-4
s(Age),smooth,NA,NA,12.682334928003494,1.944181703157355e-4,S.Olf._right,SA_resid,3.0297126913034733e-5,-0.028325364361675653,0.027564595306710293,5474.0387731147885,7.926279251333832e-4,2.4086215895862613e-4
gender1,fixed,32.2219733748887,48.36056485824693,0.6662861252621181,0.5055634641490131,F.P.O._left,SA_resid,2.4938565469915836e-4,-0.012982088530663627,0.009743377859807167,6770.095166722622,0.7943225460014266,0.001367321348178144
s(Age),smooth,NA,NA,7.276387093525352,0.013394551474439242,F.P.O._left,SA_resid,2.4938565469915836e-4,-0.012982088530663627,0.009743377859807167,6770.095166722622,0.026621671055447996,0.001367321348178144
gender1,fixed,67.55003601457689,57.21885953970567,1.180555441999017,0.23840029617325442,F.P.O._right,SA_resid,2.8039822323366536e-5,-0.024974805738089412,0.023321901339550255,6775.250323347185,0.6064903534647592,2.347437944339719e-4
s(Age),smooth,NA,NA,12.867758141838124,3.3575147120978865e-4,F.P.O._right,SA_resid,2.8039822323366536e-5,-0.024974805738089412,0.023321901339550255,6775.250323347185,0.0013181354054902813,2.347437944339719e-4
gender1,fixed,162.91993227371242,115.65703715300853,1.408646946905422,0.1596674009399478,F.C.L._left,SA_resid,8.635357946646676e-9,-0.04522663088425127,0.04900957676458251,7004.952329980846,0.5128710454434686,2.746043827033643e-7
